and
boot
cpu
data
did
error
failed
file
for
found
from
fw
hs400
i2c
image
in
info
init
jump
kernel
key
no
not
off
ok
on
port
power-on
reset
root
send
set
setup
sku
start
status
system
time
to
ucode
uma
with
core
atom
pentium
celeron
intel
